scheme,instance,method,alpha,status,objective,f_true,feasible,covered_at_xstar,slack,x0,x1,x2,x3,x4
unit,73,cmicl,0.1,optimal,786.1767637622779,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,73,nominal,0.1,optimal,697.1422892719293,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,74,cmicl,0.1,optimal,1126.6153298239585,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,74,nominal,0.1,optimal,1062.3673239596028,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,75,cmicl,0.1,optimal,1129.2444515407444,50.50005827331604,1,1,0.5000582733163341,923.0467632922112,1230.7290177229481,997.18,1.1849843612501387,11.849843612501388
unit,75,nominal,0.1,optimal,1088.2893759241351,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,76,cmicl,0.1,optimal,1189.4372860403962,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,76,nominal,0.1,optimal,1158.1694907102822,45.849339483446066,0,1,0.30675073437299005,1096.898,835.9138447418358,997.18,1.0441272099272532,10.441272099272531
unit,77,cmicl,0.1,optimal,1712.8978343687763,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,77,nominal,0.1,optimal,1649.1431816890495,45.86636386646073,0,0,-0.6284582092811917,874.7516656512852,1166.3355542017134,997.18,1.0654520818344917,10.65452081834492
unit,78,cmicl,0.1,optimal,2367.6940890576575,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,78,nominal,0.1,optimal,2247.889869016484,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,79,cmicl,0.1,optimal,1028.0766446235339,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,79,nominal,0.1,optimal,912.8886586777834,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,80,cmicl,0.1,optimal,1247.6198324723794,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,80,nominal,0.1,optimal,1103.6518710267023,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,81,cmicl,0.1,optimal,2075.7770172226437,50.50005827331604,1,1,0.5000582733163341,923.0467632922112,1230.7290177229481,997.18,1.1849843612501387,11.849843612501388
unit,81,nominal,0.1,optimal,2010.162664142701,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,82,cmicl,0.1,optimal,2744.1533236598875,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,82,nominal,0.1,optimal,2622.270104142636,45.200432168193686,0,0,-0.8437290439167029,1010.7107405452085,928.0938967934761,997.18,1.0435331527914735,10.435331527914734
